course_code,course_name,cycle,institution_code,institution_name,reference
9087,Engenharia Alimentar,Licenciatura - 1º ciclo,3041,Instituto Politécnico de Bragança - Escola Superior Agrária de Bragança,5.4.259
9087,Engenharia Alimentar,Licenciatura - 1º ciclo,3185,Instituto Politécnico de Viseu - Escola Superior Agrária de Viseu,5.4.510
9087,Engenharia Alimentar,Licenciatura - 1º ciclo,1515,Universidade de Lisboa - Instituto Superior de Agronomia,5.4.130
9099,Engenharia do Ambiente,Licenciatura - 1º ciclo,3021,Instituto Politécnico de Beja - Escola Superior Agrária,5.4.237
9099,Engenharia do Ambiente,Licenciatura - 1º ciclo,3041,Instituto Politécnico de Bragança - Escola Superior Agrária de Bragança,5.4.259
9099,Engenharia do Ambiente,Licenciatura - 1º ciclo,0300,Universidade de Aveiro,5.4.42
9099,Engenharia do Ambiente,Licenciatura - 1º ciclo,0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,5.4.70
9099,Engenharia do Ambiente,Licenciatura - 1º ciclo,1515,Universidade de Lisboa - Instituto Superior de Agronomia,5.4.130
9099,Engenharia do Ambiente,Licenciatura - 1º ciclo,1518,Universidade de Lisboa - Instituto Superior Técnico,5.4.142
9099,Engenharia do Ambiente,Licenciatura - 1º ciclo,1105,Universidade do Porto - Faculdade de Engenharia,5.4.203
9099,Engenharia do Ambiente,Licenciatura - 1º ciclo,0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,5.4.185
L164,Engenharia do Ambiente e Geoinformática,Licenciatura - 1º ciclo,3161,Instituto Politécnico de Viana do Castelo - Escola Superior Agrária,5.4.492
L202,Engenharia de Automação Industrial,Licenciatura - 1º ciclo,0300,Universidade de Aveiro,5.4.42
9092,"Engenharia de Automação, Controlo e Instrumentação",Licenciatura - 1º ciclo,3152,Instituto Politécnico de Setúbal - Escola Superior de Tecnologia de Setúbal,5.4.487
9741,Engenharia Automóvel,Licenciatura - 1º ciclo,3102,Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão,5.4.371
9474,Engenharia Biológica,Licenciatura - 1º ciclo,1518,Universidade de Lisboa - Instituto Superior Técnico,5.4.142
9455,Engenharia Biomédica,Licenciatura - 1º ciclo,3064,Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra,5.4.322
9455,Engenharia Biomédica,Licenciatura - 1º ciclo,3118,Instituto Politécnico de Lisboa - Instituto Superior de Engenharia de Lisboa,5.4.403
9455,Engenharia Biomédica,Licenciatura - 1º ciclo,3135,Instituto Politécnico do Porto - Instituto Superior de Engenharia do Porto,5.4.448
9455,Engenharia Biomédica,Licenciatura - 1º ciclo,1307,Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia,5.4.149
9455,Engenharia Biomédica,Licenciatura - 1º ciclo,0300,Universidade de Aveiro,5.4.43
9455,Engenharia Biomédica,Licenciatura - 1º ciclo,0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,5.4.70
9455,Engenharia Biomédica,Licenciatura - 1º ciclo,1518,Universidade de Lisboa - Instituto Superior Técnico,5.4.142
9455,Engenharia Biomédica,Licenciatura - 1º ciclo,1203,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,5.4.220
9455,Engenharia Biomédica,Licenciatura - 1º ciclo,1000,Universidade do Minho,5.4.164
9455,Engenharia Biomédica,Licenciatura - 1º ciclo,0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,5.4.186
